"ask_question_id","user_question","ask_question","leftover","sql_full","sch_schema_id","organisation_id","modified_on","to_consider"
33930,SALES BY REGION,Sum of Sales by Region,      BY       ,"SELECT SUM(f9e7e50cd78cf7fc974d62d36d4458b9.Sales::NUMERIC(35,2)) AS ""Sum of Sales"", f9e7e50cd78cf7fc974d62d36d4458b9.Region AS ""Region"" GROUP BY f9e7e50cd78cf7fc974d62d36d4458b9.Region ORDER BY SUM(f9e7e50cd78cf7fc974d62d36d4458b9.Sales::NUMERIC(35,2)) DESC  LIMIT 10000",20512,247,"2023-02-16 14:04:30",1
34153, PROFIT BY CATEGORY,Category by Sum of Profit,             BY         ,"",20512,247,"2023-02-28 06:35:00",1
34155," PROFIT BY CATEGORY",Category by Sum of Profit,             BY         ,"SELECT SUM(f9e7e50cd78cf7fc974d62d36d4458b9.Profit::NUMERIC(35,2)) AS ""Sum of Profit"", f9e7e50cd78cf7fc974d62d36d4458b9.Category AS ""Category"" GROUP BY f9e7e50cd78cf7fc974d62d36d4458b9.Category  LIMIT 1",20512,247,"2023-02-28 07:56:30",0
34156," PROFIT BY CATEGORY", Category by Sum of Profit,             BY         ,"SELECT SUM(f9e7e50cd78cf7fc974d62d36d4458b9.Profit::NUMERIC(35,2)) AS ""Sum of Profit"", f9e7e50cd78cf7fc974d62d36d4458b9.Category AS ""Category"" GROUP BY f9e7e50cd78cf7fc974d62d36d4458b9.Category  LIMIT 2",20512,247,"2023-02-28 08:57:21",1
34464,CHANGE ANALYSIS PROFIT BY SHIP DATE YEAR,Change analysis of Sum of Profit by Ship Date Year,                       BY               ,"",20512,247,"2023-03-16 08:49:03",1
34465,CHANGE ANALYSIS PROFIT DISCOUNT BY SHIP DATE YEAR,"Change analysis of Sum of Profit, Sum of Discount by Ship Date Year",                                BY                ,"",20512,247,"2023-03-16 08:49:57",1
35536,TREND ANALYSIS SALES BY SHIP DATE MONTH REGION,"Trend analysis of Sum of Sales, Ship Date Month, Region",                     BY                       ,"",20512,247,"2023-04-28 05:51:55",1
35874,OUTLIER ANALYSIS SALES PROFIT BY ORDER DATE WEEK SHIP DATE WEEK,"Outlier analysis of Sum of Sales, Sum of Profit, Order Date Week, Ship Date Week",                              BY                               ,"",20512,247,"2023-05-05 04:26:31",1
35875,TREND SALES BY ORDER DATE WEEK SHIP DATE WEEK,"Sum of Sales, Order Date Week, Ship Date Week",            BY                               ,"",20512,247,"2023-05-05 04:26:47",0
35876,TREND SALES BY ORDER DATE WEEK REGION,"Trend analysis of Sum of Sales, Order Date Week, Region",            BY                       ,"",20512,247,"2023-05-05 04:27:03",1
